Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
2550       717.51         6.31             -8.27         337.1              2.43
2560       716.64         6.23             -8.33         337.5              2.34
2570       715.77         6.14             -8.39         334.9              2.31
2580       714.90         6.06             -8.46         332.2              2.27
2590       714.03         5.97             -8.53         327.9              2.24
2600       713.16         5.88             -8.60         322.6              2.20
2610       712.29         5.78             -8.69         320.2              2.14
2620       711.43         5.69             -8.76         317.3              2.10
2630       710.56         5.58             -8.81         318.7              2.16
2640       709.70         5.47             -8.85         320.3              2.16
2650       708.83         5.35             -8.88         322.8              2.16
2660       707.97         5.24             -8.91         325.0              2.16
2670       707.10         5.15             -8.94         324.7              2.17
2680       706.24         5.08             -8.98         323.4              2.24
2690       705.38         4.98             -9.02         322.4              2.27
2700       704.52         4.88             -9.06         323.6              2.27
2710       703.66         4.79             -9.09         323.4              2.34
2720       702.80         4.70             -9.11         323.3              2.41
2730       701.94         4.59             -9.14         322.1              2.40
2740       701.09         4.49             -9.18         321.1              2.35
2750       700.23         4.39             -9.22         317.4              2.31
2760       699.37         4.28             -9.27         312.1              2.26
2770       698.52         4.20             -9.31         307.7              2.16
2780       697.66         4.10             -9.35         304.7              2.01
2790       696.81         4.00             -9.39         303.8              1.91
2800       695.95         3.91             -9.42         303.0              1.83
2810       695.10         3.80             -9.46         301.8              1.80
2820       694.25         3.68             -9.50         302.2              1.76
2830       693.40         3.57             -9.52         303.4              1.83
2840       692.55         3.45             -9.55         302.1              1.84
2850       691.70         3.35             -9.57         303.0              1.85
2860       690.85         3.26             -9.58         305.0              1.88
2870       690.00         3.16             -9.60         310.0              2.00
2880       689.15         3.08             -9.61         312.1              2.04
2890       688.31         2.97             -9.63         315.0              2.12
2900       687.46         2.86             -9.64         316.3              2.27
2910       686.62         2.75             -9.66         314.5              2.35
2920       685.77         2.62             -9.68         310.9              2.43
2930       684.93         2.52             -9.71         308.7              2.41
2940       684.08         2.43             -9.73         307.9              2.45
2950       683.24         2.36             -9.75         306.2              2.39
2960       682.40         2.26             -9.78         305.6              2.29
2970       681.56         2.17             -9.81         305.5              2.17
2980       680.72         2.07             -9.84         305.2              2.05
2990       679.88         1.98             -9.87         303.5              1.93
3000       679.04         1.89             -9.91         304.0              1.87
3010       678.20         1.82             -9.96         305.6              1.88
3020       677.37         1.73             -10.01        305.0              1.90
3030       676.53         1.66             -10.06        306.1              2.03
3040       675.70         1.58             -10.11        304.8              2.24
3050       674.86         1.50             -10.18        302.4              2.48
3060       674.03         1.43             -10.33        297.0              2.74
3070       673.19         1.38             -10.58        291.2              2.99
3080       672.36         1.37             -11.04        289.1              3.29
3090       671.53         1.38             -11.52        287.8              3.56
3100       670.70         1.40             -12.16        289.1              3.82
3110       669.87         1.43             -12.89        288.7              4.00
3120       669.05         1.46             -13.69        288.5              4.29
3130       668.22         1.50             -14.63        288.1              4.62
3140       667.39         1.54             -15.67        287.0              4.94
3150       666.57         1.58             -16.84        285.6              5.31
3160       665.74         1.62             -17.97        283.6              5.72
3170       664.92         1.65             -18.96        282.5              6.15
3180       664.10         1.67             -19.78        281.1              6.49
3190       663.28         1.68             -20.64        279.7              6.90
3200       662.46         1.69             -21.37        279.3              7.25
3210       661.64         1.71             -22.20        279.9              7.72
3220       660.82         1.73             -23.09        280.8              8.12
3230       660.00         1.76             -24.05        281.0              8.46
3240       659.19         1.80             -25.07        281.0              8.77
3250       658.37         1.83             -26.09        281.0              8.98
3260       657.56         1.86             -26.91        281.1              9.16
3270       656.74         1.89             -27.76        280.7              9.28
3280       655.93         1.91             -28.45        280.8              9.32
3290       655.12         1.93             -29.26        281.1              9.36
3300       654.31         1.94             -29.98        281.1              9.37
3310       653.50         1.95             -30.59        280.7              9.35
3320       652.69         1.94             -31.05        280.1              9.35
3330       651.89         1.92             -31.33        280.0              9.36
3340       651.08         1.89             -31.43        280.0              9.39
3350       650.27         1.86             -31.47        279.8              9.47
3360       649.47         1.82             -31.45        279.8              9.55
3370       648.67         1.77             -31.41        279.8              9.66
3380       647.86         1.71             -31.40        279.2              9.75
3390       647.06         1.66             -31.43        278.4              9.87
3400       646.26         1.59             -31.55        277.3              10.05
